Ovis_aries,Homo_sapiens,Canis_lupus,Sus_scrofa,Rattus_norvegicus,Oryctolagus_cuniculus,Felis_catus
ENSG00000130340,16.4732908037,20.9075139038,56.3309750182,50.1872405541,33.3450085743,15.2451707945,39.3895632115
ENSG00000180881,0.236434867589,8.21997096425,0.138350347411,0.909334611106,1.46147704509,1.859541508,0.846824413836
ENSG00000130347,2.54521711965,1.88353686684,4.03851851053,2.03769943041,1.38957762902,2.16841319919,2.56821972064
ENSG00000099949,11.6173978009,11.3672029124,4.95510682085,6.3277300691,9.41637251569,25.4238307813,10.4192169328
ENSG00000165309,0.0148547638965,0.435689135286,0.0996981089741,0.994071047407,0.32734515344,1.21485093763,0.062780637456
ENSG00000107562,39.1311457314,65.0288327211,1038.94726135,82.5719931536,14.7537008235,890.800033859,76.9137398203
ENSG00000151012,0.39700315847,2.51246992879,0.582127641447,0.714322133292,1.53789395692,0.0539920216075,0.491791679421
ENSG00000107560,9.0622870718,12.1726032369,11.0719809212,13.4005882077,7.50754570277,1.75320994585,14.5176423235
ENSG00000151014,2.31328787376,2.18407556913,5.00350451091,4.6530035915,1.28475721314,3.45888721906,1.63495039328
ENSG00000099940,7.07617894754,7.22262225529,10.1788307049,9.36658511133,13.4008651663,19.0847510891,6.97561059392
ENSG00000099942,13.3411573175,7.52607503164,6.95687078809,11.5155341364,6.58122891926,6.51436349844,10.1431261123
ENSG00000145850,7.38548450798,0.255935776208,26.3865960277,2.30059070584,14.927846227,0.810219927097,13.3667261239
ENSG00000129451,0.222809335254,0.150262946654,0.007815997517,0.0205872566357,0.324858471176,0.109575063309,0.0278454683923
ENSG00000154007,0.0428098582829,0.0,0.0,0.0136930116788,0.0,0.0,0.016276762576
ENSG00000174132,208.700513075,3.5178042496,11.5754984017,4.90293926502,8.06593107399,22.4627405866,3.81094392272
ENSG00000198793,5.99437331566,8.39010829798,8.56108284255,5.26369582493,4.89346390726,5.30956951058,5.97912825912
