genename	logL1	k1	BMrate_background	BMrate_specificspecies	logL.multiple	k2	P.chisq
ENSG00000141012	-13.5005808404247	2	0.0332625417989891	0.00928668990686667	-13.4209044451865	3	0.689753086992585
ENSG00000148057	-15.5288989693205	2	0.0316463011025007	0.268692297583456	-14.5300182759647	3	0.157531718498627
ENSG00000133302	-11.7528704438712	2	0.0195913692256351	0.0105747053906974	-11.726111218422	3	0.817050245227245
ENSG00000164404	-5.91459119717045	2	0.00361840100013553	3.51220003659718e-07	-5.38551854481525	3	0.303638579382948
ENSG00000198887	-19.3108097679907	2	0.169921621262527	0.0880524148478546	-19.2811050294317	3	0.807431731927007
ENSG00000172817	-20.5171566927748	2	0.240385132447089	2.27785464654851e-05	-20.0826304155081	3	0.351217735165039
ENSG00000198881	-6.75548270719065	2	0.00495907182371614	4.46601873897469e-07	-6.48444123932588	3	0.46157077006658
ENSG00000172818	-1.96204258402144	2	0.00160727421859827	1.13535233312578e-07	-1.57370548865894	3	0.378160224331096
ENSG00000198888	-60.7230273445306	2	22204.2843652867	22204.2843426343	-60.7230273442741	3	0.999981926099875
ENSG00000182022	-11.370207848538	2	0.0132619167093653	0.0485253325272777	-11.0847271909006	3	0.449877168001388
ENSG00000244754	-27.1159198901435	2	1.66765758613419	0.159574138322439	-26.968195819729	3	0.586750200853882
ENSG00000091542	-24.3608619872115	2	0.675253663933915	0.752404218461562	-24.3596714017027	3	0.96108087856511
ENSG00000165863	-9.66836431719935	2	0.0109573068839682	1.02650943094133e-06	-9.2614352073749	3	0.366982019897407
ENSG00000165861	-16.574800417883	2	0.0770363121204905	7.38485741319867e-06	-16.0993809857601	3	0.329505863530959
ENSG00000178343	-8.04791040009989	2	0.00710056834773304	0.0015026079687536	-7.93058127198143	3	0.628091108502036
ENSG00000085382	-17.316754806255	2	0.0424550575313832	0.544030121572842	-15.7573820975506	3	0.0773963515384075
ENSG00000101901	-27.1625542667567	2	1.65005958397987	0.444296169681904	-27.0801910882066	3	0.684841833158401
ENSG00000153283	-12.4146957937343	2	0.0230420581486625	2.24977515753791e-06	-11.874284120955	3	0.298513440990873
ENSG00000116586	-32.768725280904	2	8.34479466522768	0.000754659970885834	-32.4977314293274	3	0.461610123292008
ENSG00000176142	-16.3403034612986	2	0.0779016347273972	6.90628920408484e-06	-16.1386249481772	3	0.525360621580423
ENSG00000159173	-33.5948618367975	2	9.68875833789828	0.000955568349325098	-33.0202989730382	3	0.283732240251252
ENSG00000104371	-10.4694720874233	2	0.00074793292969109	1.01403672448681	-3.54316558623273	3	0.000197721611001097
ENSG00000180891	-20.9662112833034	2	0.265623253197858	0.200875675375883	-20.9596635731421	3	0.908892793260794
ENSG00000103855	-17.4630705496616	2	0.0953831819505129	9.51836495079184e-06	-16.8471721495931	3	0.267057887617942
ENSG00000151023	-15.1043196335662	2	0.0539611093072598	0.00487292900127215	-14.9537459555838	3	0.583164024168662
ENSG00000099954	-13.8489289071112	2	0.0339964090273067	3.3892585163044e-06	-13.2365410994228	3	0.268425467641009
ENSG00000101638	-23.1570898895448	2	0.00835934804977188	4.92181471877261	-11.9406366887484	3	2.17613548523047e-06
ENSG00000174417	-2.12841376843322	2	0.00163922509065546	1.19062413466299e-07	-1.69734090677873	3	0.353138922059487
ENSG00000170113	-11.8614828132939	2	0.0193871380155689	1.92085313718143e-06	-11.269839803536	3	0.276688041214765
ENSG00000174145	-2.29063511381142	2	0.00131638289261935	0.00124710715138861	-2.28738842144234	3	0.935774746664799
